=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2014.04.22 10:23:16 =~=~=~=~=~=~=~=~=~=~=~=
[22/04/14 - 10:23:16:459] Awake[22/04/14 - 10:23:16:527] 
Card initialised...[22/04/14 - 10:23:16:528] 
Timestamp,Air 1,Air 2,Temp 03,Temp 21,Temp 15,Surface,H
[22/04/14 - 10:23:16:710] umidity 03,Humidity 21,Humidity 15,Light 1,Light 2,LDR
[22/04/14 - 10:23:16:711] ,Sound,Current[22/04/14 - 10:23:16:711] 
22.4.2014 10:23:17  Ta:21.31,21.62  Th:21.10,20.75,20.64  Ts:2.39  RH:69.30,69.64,69.20  L:28,79,665  SPL:188  I:5.21[22/04/14 - 10:23:19:151] 
22.4.2014 10:23:20  Ta:21.31,21.62  Th:21.10,20.75,20.64  Ts:2.39  RH:69.30,69.65,69.20  L:28,77,666  SPL:140  I:0.09[22/04/14 - 10:23:22:039] 
22.4.2014 10:23:23  Ta:21.37,21.62  Th:21.10,20.74,20.64  Ts:2.39  RH:69.40,69.66,69.23  L:28,78,665  SPL:50  I:0.01[22/04/14 - 10:23:24:939] 
22.4.2014 10:23:26  Ta:21.37,21.62  Th:21.10,20.75,20.62  Ts:2.39  RH:69.40,69.66,69.22  L:28,78,665  SPL:81  I:0.01[22/04/14 - 10:23:27:823] 
22.4.2014 10:23:29  Ta:21.37,21.62  Th:21.10,20.73,20.63  Ts:2.39  RH:69.40,69.67,69.26  L:28,78,664  SPL:74  I:0.01[22/04/14 - 10:23:30:708] 
22.4.2014 10:23:31  Ta:21.31,21.62  Th:21.10,20.73,20.64  Ts:2.39  RH:69.40,69.68,69.26  L:28,78,667  SPL:165  I:0.01[22/04/14 - 10:23:33:595] 
22.4.2014 10:23:34  Ta:21.37,21.62  Th:21.10,20.73,20.64  Ts:2.39  RH:69.40,69.69,69.26  L:28,79,664  SPL:107  I:0.01[22/04/14 - 10:23:36:483] 
22.4.2014 10:23:37  Ta:21.37,21.62  Th:21.10,20.72,20.63  Ts:2.39  RH:69.40,69.74,69.26  L:28,76,664  SPL:162  I:0.01[22/04/14 - 10:23:39:383] 
22.4.2014 10:23:40  Ta:21.31,21.62  Th:21.10,20.72,20.63  Ts:2.39  RH:69.50,69.73,69.26  L:32,75,612  SPL:147  I:0.01[22/04/14 - 10:23:42:270] 
22.4.2014 10:23:43  Ta:21.31,21.62  Th:21.10,20.73,20.65  Ts:2.39  RH:69.50,69.72,69.26  L:48,158,557  SPL:112  I:0.01[22/04/14 - 10:23:45:170] 
22.4.2014 10:23:46  Ta:21.31,21.62  Th:21.10,20.70,20.65  Ts:2.39  RH:69.50,69.76,69.20  L:70,151,552  SPL:36  I:0.01[22/04/14 - 10:23:48:055] 
22.4.2014 10:23:49  Ta:21.31,21.56  Th:21.10,20.71,20.67  Ts:2.39  RH:69.50,69.79,69.18  L:28,78,659  SPL:507  I:0.01[22/04/14 - 10:23:50:956] 
22.4.2014 10:23:52  Ta:21.25,21.62  Th:21.10,20.70,20.68  Ts:2.39  RH:69.50,69.78,69.14  L:50,77,654  SPL:23  I:0.01[22/04/14 - 10:23:53:842] 
22.4.2014 10:23:55  Ta:21.25,21.56  Th:21.10,20.69,20.66  Ts:2.39  RH:69.50,69.78,69.17  L:28,77,669  SPL:69  I:0.01[22/04/14 - 10:23:56:731] 
22.4.2014 10:23:58  Ta:21.25,21.56  Th:21.10,20.70,20.66  Ts:2.39  RH:69.50,69.79,69.20  L:28,78,670  SPL:178  I:0.01[22/04/14 - 10:23:59:632] 
22.4.2014 10:24:00  Ta:21.25,21.62  Th:21.10,20.71,20.64  Ts:2.39  RH:69.50,69.78,69.23  L:28,78,668  SPL:130  I:0.01[22/04/14 - 10:24:02:519] 
22.4.2014 10:24:03  Ta:21.31,21.62  Th:21.10,20.69,20.64  Ts:2.39  RH:69.50,69.76,69.20  L:28,77,670  SPL:175  I:0.01[22/04/14 - 10:24:05:435] 
22.4.2014 10:24:06  Ta:21.31,21.62  Th:21.10,20.72,20.65  Ts:2.39  RH:69.50,69.77,69.26  L:28,77,668  SPL:57  I:0.01[22/04/14 - 10:24:08:320] 
22.4.2014 10:24:09  Ta:21.31,21.69  Th:21.10,20.69,20.63  Ts:2.39  RH:69.50,69.80,69.23  L:28,78,669  SPL:166  I:0.01[22/04/14 - 10:24:11:208] 
