=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2014.04.18 19:08:39 =~=~=~=~=~=~=~=~=~=~=~=
[18/04/14 - 19:08:39:928] Output: 0%	0[18/04/14 - 19:08:39:932] 
Output: 10%	25[18/04/14 - 19:08:40:989] 
Output: 20%	51[18/04/14 - 19:08:42:079] 
Output: 30%	76[18/04/14 - 19:08:42:722] 
Output: 10%	25[18/04/14 - 19:08:46:274] 
Output: 20%	51[18/04/14 - 19:08:47:367] 
Output: 30%	76[18/04/14 - 19:08:47:733] 
Output: 40%	102[18/04/14 - 19:08:48:046] 
Output: 50%	127[18/04/14 - 19:08:48:301] 
Output: 60%	153[18/04/14 - 19:08:48:543] 
Output: 70%	178[18/04/14 - 19:08:48:771] 
Output: 80%	204[18/04/14 - 19:08:48:972] 
Output: 90%	229[18/04/14 - 19:08:49:162] 
Output: 90%	229[18/04/14 - 19:08:50:546] 
Output: 80%	204[18/04/14 - 19:08:53:433] 
Output: 70%	178[18/04/14 - 19:08:55:359] 
Output: 60%	153[18/04/14 - 19:08:56:866] 
Output: 50%	127[18/04/14 - 19:08:58:394] 
Output: 40%	102[18/04/14 - 19:08:59:721] 
Output: 30%	76[18/04/14 - 19:09:00:959] 
Output: 20%	51[18/04/14 - 19:09:02:076] 
Output: 10%	25[18/04/14 - 19:09:03:207] 
Output: 0%	0[18/04/14 - 19:09:04:186] 
Output: 10%	25[18/04/14 - 19:09:16:843] 
Output: 30%	76[18/04/14 - 19:09:17:276] 
Output: 0%	0[18/04/14 - 19:09:28:451] 
Output: 0%	0[18/04/14 - 19:09:48:760] 
Output: 10%	25[18/04/14 - 19:09:50:038] 
Output: 20%	51[18/04/14 - 19:10:18:618] 
Output: 30%	76[18/04/14 - 19:10:22:583] 
Output: 60%	153[18/04/14 - 19:10:31:627] 
Output: 60%	153[18/04/14 - 19:10:44:517] 
Output: 70%	178[18/04/14 - 19:10:47:007] 
Output: 90%	229[18/04/14 - 19:10:53:558] 
Output: 20%	51[18/04/14 - 19:11:14:571] 
Output: 20%	51[18/04/14 - 19:11:45:203] 
Output: 30%	76[18/04/14 - 19:11:45:886] 
Output: 40%	102[18/04/14 - 19:11:48:757] 
Output: 70%	178[18/04/14 - 19:12:13:991] 
Output: 80%	204[18/04/14 - 19:12:23:276] 
Output: 90%	229[18/04/14 - 19:12:24:424] 
Output: 10%	25[18/04/14 - 19:12:29:907] 
Output: 0%	0[18/04/14 - 19:12:35:618] 
Output: 10%	25[18/04/14 - 19:12:36:887] 
Output: 20%	51[18/04/14 - 19:12:39:767] 
Output: 20%	51[18/04/14 - 19:12:55:095] 
Output: 30%	76[18/04/14 - 19:12:55:487] 
Output: 20%	51[18/04/14 - 19:13:05:234] 
Output: 90%	229[18/04/14 - 19:13:11:622] 
Output: 10%	25[18/04/14 - 19:13:20:282] 
Output: 20%	51[18/04/14 - 19:13:23:261] 
Output: 30%	76[18/04/14 - 19:13:26:173] 
Output: 40%	102[18/04/14 - 19:13:26:615] 
Output: 50%	127[18/04/14 - 19:13:26:767] 
Output: 60%	153[18/04/14 - 19:13:26:922] 
Output: 70%	178[18/04/14 - 19:13:27:254] 
Output: 80%	204[18/04/14 - 19:13:27:422] 
Output: 40%	102[18/04/14 - 19:13:28:467] 
Output: 50%	127[18/04/14 - 19:13:29:076] 
Output: 30%	76[18/04/14 - 19:13:29:752] 
Output: 40%	102[18/04/14 - 19:13:30:681] 
Output: 10%	25[18/04/14 - 19:13:31:178] 
Output: 20%	51[18/04/14 - 19:13:31:776] 
Output: 0%	0[18/04/14 - 19:13:33:029] 
